				manner2	manner2	manner2	manner2	manner2	manner2	manner2	manner1	manner1			manner1	place1	place2	place2		place1	place2	place2	place2	place2	place1	place2	place2	place2	place1	place2	place2	place2	phonation	phonation	phonation	phonation	phonation	phonation	height	height	backness	backness			
IPA	X-SAMPA	consonantal	syllabic	nasal	stop	fricative	approximant	trill	flap	affricate	continuant	sonorant	lateral	rhotic	liquid	labial	bilabial	labiodental	lingual	coronal	dental	alveolar	post-alveolar	retroflex	dorsal	palatal	velar	uvular	laryngeal	pharyngeal	epiglottal	glottal	egressive	voice	nasalization	aspiration	ejective	click	high	low	front	back	round	tense	long
t	t	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	+	+	-	+	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	0	0	0	0	0	0	-
t͡ɕ	t)s\	+	-	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	+	+	-	-	+	-	-	+	-	-	-	-	-	-	+	-	-	-	-	-	0	0	0	0	0	0	-
t͡ɬ	t)K	+	-	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	+	+	-	+	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	0	0	0	0	0	0	-
t͡s	t)s	+	-	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	+	+	-	+	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	0	0	0	0	0	0	-
t͡ʃ	t)S	+	-	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	+	+	-	-	+	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	0	0	0	0	0	0	-
t̪͡θ	t_d)T	+	-	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	0	0	0	0	0	0	-
ʈ	t`	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	+	+	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	-	-	0	0	0	0	0	0	-
ʈ͡ʂ	t`)s`	+	-	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	+	+	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	-	-	0	0	0	0	0	0	-
ɥ	H	+	-	-	-	-	+	-	-	-	+	+	-	-	-	+	-	-	+	-	-	-	-	-	+	+	-	-	-	-	-	-	+	+	-	-	-	-	0	0	0	0	0	0	-
ɰ	M\	+	-	-	-	-	+	-	-	-	+	+	-	-	-	-	-	-	+	-	-	-	-	-	+	-	+	-	-	-	-	-	+	+	-	-	-	-	0	0	0	0	0	0	-
v	v	+	-	-	-	+	-	-	-	-	+	-	-	-	-	+	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	+	-	-	-	-	0	0	0	0	0	0	-
ʋ	v\	+	-	-	-	-	+	-	-	-	+	+	-	-	-	+	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	+	-	-	-	-	0	0	0	0	0	0	-
w	w	+	-	-	-	-	+	-	-	-	+	+	-	-	-	+	-	-	+	-	-	-	-	-	+	-	+	-	-	-	-	-	+	+	-	-	-	-	0	0	0	0	0	0	-
ʍ	W	+	-	-	-	-	+	-	-	-	+	+	-	-	-	+	-	-	+	-	-	-	-	-	+	-	+	-	-	-	-	-	+	-	-	-	-	-	0	0	0	0	0	0	-
x	x	+	-	-	-	+	-	-	-	-	+	-	-	-	-	-	-	-	+	-	-	-	-	-	+	-	+	-	-	-	-	-	+	-	-	-	-	-	0	0	0	0	0	0	-
z	z	+	-	-	-	+	-	-	-	-	+	-	-	-	-	-	-	-	+	+	-	+	-	-	-	-	-	-	-	-	-	-	+	+	-	-	-	-	0	0	0	0	0	0	-
ʐ	z`	+	-	-	-	+	-	-	-	-	+	-	-	-	-	-	-	-	+	+	-	-	-	+	-	-	-	-	-	-	-	-	+	+	-	-	-	-	0	0	0	0	0	0	-
ʑ	z\	+	-	-	-	+	-	-	-	-	+	-	-	-	-	-	-	-	+	+	-	-	+	-	-	+	-	-	-	-	-	-	+	+	-	-	-	-	0	0	0	0	0	0	-
ʒ	Z	+	-	-	-	+	-	-	-	-	+	-	-	-	-	-	-	-	+	+	-	-	+	-	-	-	-	-	-	-	-	-	+	+	-	-	-	-	0	0	0	0	0	0	-
ʔ	?	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	+	+	-	-	-	-	-	0	0	0	0	0	0	-
ʕ	?\	+	-	-	-	+	+	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	+	-	-	+	-	-	-	-	-	0	0	0	0	0	0	-
β	B	+	-	-	-	+	-	-	-	-	+	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	+	-	-	-	-	0	0	0	0	0	0	-
θ	T	+	-	-	-	+	-	-	-	-	+	-	-	-	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	0	0	0	0	0	0	-
χ	X	+	-	-	-	+	-	-	-	-	+	-	-	-	-	-	-	-	+	-	-	-	-	-	+	-	-	+	-	-	-	-	+	-	-	-	-	-	0	0	0	0	0	0	-
